name,brand,barcode,category,image_url,ingredients
love my skin,Watsons,2392020022796,Déodorants,https://images.openbeautyfacts.org/images/products/239/202/002/2796/front_fr.3.400.jpg,
Black,Sephora,3301221472308,,https://images.openbeautyfacts.org/images/products/330/122/147/2308/front_fr.8.400.jpg,
,Sephora,3378872047131,,https://images.openbeautyfacts.org/images/products/337/887/204/7131/front_fr.7.400.jpg,
Vernis à ongles laque- L19 Wanna be a star,Sephora,3378872050919,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/205/0919/front_fr.6.400.jpg,
Vernis à ongles laque,Sephora,3378872050933,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/205/0933/front_fr.7.400.jpg,
N°22 Coffee in NY,Sephora,3378872050940,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/205/0940/front_fr.7.400.jpg,Butyl Acetate • Ethyl Acetate • Nitrocellulose • Phthalic Anhydride/Trimellitic Anhydride/Glycols Copolymer • Acetyl Tributyl Citrate • Isopropyl Alcohol • CI 77499 (Iron Oxides) • Stearalkonium Hectorite • Acrylates Copolymer • Styrene/Acrylates Copolymer • Adipic Acid/Fumaric Acid/Phthalic Acid/Tricyclodecane Dimethanol Copolymer • CI 77491 (Iron oxides) • Copernicia Cerifera (Carnauba) Wax • Polyvinyl Butyral • CI 15850 (Red 7 Lake) • Citric Acid • Colophonium (Rosin) • Talc • Phosphoric Acid
"Vernis à ongles scintillant - 72 Tomorrow, detox!",Sephora,3378872056225,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/205/6225/front_fr.6.400.jpg,
Fard à joues hydratant Rose Fraise N°09,Sephora,3378872057529,"Makeup,Face Makeup,Blush",https://images.openbeautyfacts.org/images/products/337/887/205/7529/front_fr.6.400.jpg,. Pilosa Extract Sucrose Vochinbrengende rouge. Nemlendiricii a Sorbic Acid Silica ⚫ Sorbitan Fad de obra hidatant Hydratačni valenka Phenoxyethanol Cetearyl Ethylhexanoate Hatho rumeno krema Xpampapy Isostearate BHT ⚫Tin Oxide ⚫ INGREDIENTS/Cocras: Talc Mica Magnesium Myristate Boron Nitride Nyon-12 Phenyl Trimethicone ⚫ CI 77891 (Titanium Dioxide) Octyldodecyl Stearoy Stearate C17791 ron Oxides) CI 15850 (Red 7) Cl 17492 (Iron Oxides). . Cocoate Palmitoyl Tripeptide-38 CI 42090 (Blue 1 Lake) CI 77499 (Iron Oxides) CI 12085 (Red 36) CI 77007 (Ultramarines). www.sephora.com
Outrageous volume,Sephora,3378872059882,,https://images.openbeautyfacts.org/images/products/337/887/205/9882/front_fr.3.400.jpg,
Coco gommage corps lissant,Sephora,3378872061717,"Corps, Gommages pour le corps",https://images.openbeautyfacts.org/images/products/337/887/206/1717/front_fr.10.400.jpg,"Glycerin, Aqua (Water), Polyethylene, Sorbitol, Styrene/Acrilates Copolymer, Parfum (Fragance), Phenoxyethanol, Carbomer, Caprylyl Glycol, Sodium Hydroxide, Benzotriazolyl, Dodecyl P-Cresol, Buteth-3, Coumarin, Cocos Nucifera (Coconut) Extract, Sodium Benzotriazolyl Butylphenol Sulfonate, Citric Acid, Tributyl Citrate, Potassium Sorbate, Sodium Benzoate"
